attendance_id,session_id,student_id,attendance_status,marked_at
A000001,SES0001,S0151,present,2025-02-10 20:30:00
A000002,SES0001,S0132,absent,2025-02-10 20:25:00
A000003,SES0001,S0062,present,2025-02-10 20:04:00
A000004,SES0001,S0178,absent,2025-02-10 20:50:00
A000005,SES0001,S0105,absent,2025-02-10 20:38:00
A000006,SES0001,S0259,absent,2025-02-10 20:42:00
A000007,SES0001,S0104,absent,2025-02-10 20:46:00
A000008,SES0001,S0164,absent,2025-02-10 20:46:00
A000009,SES0001,S0289,present,2025-02-10 21:00:00
A000010,SES0001,S0293,present,2025-02-10 20:11:00
A000011,SES0001,S0185,present,2025-02-10 20:52:00
A000012,SES0001,S0135,present,2025-02-10 20:08:00
A000013,SES0001,S0031,present,2025-02-10 20:17:00
A000014,SES0001,S0094,present,2025-02-10 20:08:00
A000015,SES0001,S0027,present,2025-02-10 20:21:00
A000016,SES0001,S0019,absent,2025-02-10 20:57:00
A000017,SES0001,S0262,present,2025-02-10 20:21:00
A000018,SES0001,S9999,late,2025-02-10 20:46:00
A000019,SES0001,S0025,absent,2025-02-10 20:43:00
A000020,SES0001,S0171,present,2025-02-10 20:15:00
A000021,SES0001,S0018,present,2025-02-10 20:09:00
A000022,SES0001,S0196,present,2025-02-10 20:03:00
A000023,SES0001,S0004,present,2025-02-10 20:46:00
A000024,SES0001,S0218,absent,2025-02-10 20:37:00
A000025,SES0001,S0044,present,2025-02-10 20:05:00
A000026,SES0001,S0068,present,2025-02-10 20:26:00
A000027,SES0001,S0274,present,2025-02-10 20:40:00
A000028,SES0001,S0177,present,2025-02-10 20:39:00
A000029,SES0001,S0130,present,2025-02-10 20:10:00
A000030,SES0001,S0007,present,2025-02-10 20:17:00
A000031,SES0001,S0060,present,2025-02-10 20:03:00
A000032,SES9999,S0307,late,2025-02-10 20:20:00
A000033,SES0001,S0181,absent,2025-02-10 20:34:00
A000034,SES0001,S0066,absent,2025-02-10 20:27:00
A000035,SES0001,S0224,absent,2025-02-10 20:27:00
A000036,SES0001,S0314,present,2025-02-10 20:49:00
A000037,SES0001,S0295,absent,2025-02-10 20:13:00
A000038,SES0001,S0193,present,2025-02-10 20:23:00
A000039,SES0001,S0211,present,2025-02-10 20:28:00
A000040,SES0001,S0264,present,2025-02-10 20:43:00
A000041,SES0001,S0313,absent,2025-02-10 20:29:00
A000042,SES0001,S0083,present,2025-02-10 20:04:00
A000043,SES0001,S0172,present,2025-02-10 20:36:00
A000044,SES0001,S0038,late,2025-02-10 20:54:00
A000045,SES0001,S0173,present,2025-02-10 20:55:00
A000046,SES0001,S0231,joined,2025-02-10 20:05:00
A000047,SES0001,S0081,present,2025-02-10 20:46:00
A000048,SES0001,S0217,present,2025-02-10 20:00:00
A000049,SES0001,S0028,present,2025-02-10 20:48:00
A000050,SES0001,S0137,late,2025-02-10 20:40:00
A000051,SES0002,S0004,present,2025-02-15 20:35:00
A000052,SES0002,S0001,absent,2025-02-15 20:25:00
A000053,SES0002,S0066,present,2025-02-15 20:01:00
A000054,SES0002,S0093,present,2025-02-15 20:13:00
A000055,SES0002,S0219,present,2025-02-15 20:23:00
A000056,SES0002,S0293,late,2025-02-15 20:47:00
A000057,SES0002,S0217,absent,2025-02-15 20:34:00
A000058,SES0002,S0086,present,2025-02-15 20:54:00
A000059,SES0002,S0151,present,2025-02-15 20:30:00
A000060,SES0002,S0171,present,2025-02-15 20:57:00
A000061,SES0002,S0177,present,2025-02-15 20:20:00
A000062,SES0002,S0103,present,2025-02-15 20:37:00
A000063,SES0002,S0307,present,2025-02-15 20:47:00
A000064,SES0002,S0258,late,2025-02-15 20:18:00
A000065,SES0002,S0162,present,2025-02-15 20:58:00
A000066,SES0002,S0105,present,2025-02-15 20:14:00
A000067,SES0002,S0317,present,2025-02-15 20:11:00
A000068,SES0002,S9999,present,2025-02-15 20:29:00
